Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,New Zealand,NZL,45822.7115762224
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Nicaragua,NIC,6926.05927704029
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Niger,NER,1483.0890105423
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Nigeria,NGA,5950.8979169819
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,North Macedonia,MKD,20029.278857404
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Northern Mariana Islands,MNP,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Norway,NOR,86004.5359604999
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Oman,OMN,39992.6094422028
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Pakistan,PAK,5037.97715334892
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Palau,PLW,20544.1157495341
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Panama,PAN,30961.8337685151
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Papua New Guinea,PNG,4307.41258337017
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Paraguay,PRY,14785.2851283599
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Peru,PER,14792.4889893916
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Philippines,PHL,8276.08130845592
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Poland,POL,32997.5988600361
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Portugal,PRT,36720.3942769425
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Puerto Rico,PRI,42764.5622650312
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Qatar,QAT,114593.184631943
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Romania,ROU,30377.5280910142
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Russian Federation,RUS,35361.546875
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Rwanda,RWA,2312.38621883684
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Samoa,WSM,6821.33374265594
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,San Marino,SMR,62329.5313054164
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sao Tome and Principe,STP,5363.6772167019
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Saudi Arabia,SAU,48166.2388034893
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Senegal,SEN,3781.27302724962
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Serbia,SRB,18394.3382840439
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Seychelles,SYC,29905.1347389952
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sierra Leone,SLE,1582.38350903004
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Singapore,SGP,110927.693046369
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sint Maarten (Dutch part),SXM,49849.3408769558
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Slovak Republic,SVK,34092.3230100945
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Slovenia,SVN,40413.052513921
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Solomon Islands,SLB,2864.482092168
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Somalia,SOM,1483.71099606852
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,South Africa,ZAF,14710.7288235681
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,South Sudan,SSD,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Spain,ESP,43823.4508776186
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sri Lanka,LKA,13705.7116837621
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,St. Kitts and Nevis,KNA,29437.4355771127
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,St. Lucia,LCA,21215.1522518168
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,St. Martin (French part),MAF,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,St. Vincent and the Grenadines,VCT,15102.0615221248
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sudan,SDN,4374.15771484375
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Suriname,SUR,21999.0495717589
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Sweden,SWE,60068.313332864
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Switzerland,CHE,77999.457811489
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Syrian Arab Republic,SYR,3181.03023523706
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Tajikistan,TJK,3220.94343976162
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Tanzania,TZA,3180.10888671875
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Thailand,THA,19439.2726205383
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Timor-Leste,TLS,4557.56147426686
